,country,frequency,rank,lat,long
0,United States,1886,1,39.7837304,-100.4458825
1,Germany,264,2,51.0834196,10.4234469
2,United Kingdom,230,3,54.7023545,-3.2765753
3,China,191,4,35.000074,104.999927
4,France,129,5,46.603354,1.8883335
5,Canada,107,6,61.0666922,-107.9917071
6,Italy,95,7,42.6384261,12.674297
7,Australia,81,8,-24.7761086,134.755
8,Switzerland,81,8,46.7985624,8.2319736
9,Japan,76,9,36.5748441,139.2394179
10,Spain,53,10,39.3262345,-4.8380649
11,Belgium,51,11,50.6402809,4.6667145
12,Brazil,49,12,-10.3333333,-53.2
13,India,46,13,22.3511148,78.6677428
14,South Korea,42,14,36.5581914,127.9408564
15,Sweden,42,14,59.6749712,14.5208584
16,Netherlands,37,15,52.24726925,5.54122345487672
17,Finland,36,16,63.2467777,25.9209164
18,Hong Kong,36,16,22.2793278,114.1628131
19,Austria,32,17,47.2000338,13.199959
20,Israel,32,17,30.8760272,35.0015196
21,Greece,28,18,38.9953683,21.9877132
22,Hungary,25,19,47.1817585,19.5060937
23,Taiwan,20,20,23.59829785,120.835363138175
24,New Zealand,19,21,-41.5000831,172.8344077
25,Norway,17,22,64.5731537,11.5280364395482
26,Ireland,15,23,52.865196,-7.9794599
27,Romania,12,24,45.9852129,24.6859225
28,Singapore,11,25,1.340863,103.830391822121
29,Denmark,10,26,55.670249,10.3333283
30,Pakistan,9,27,30.3308401,71.247499
31,Poland,9,28,52.215933,19.134422
32,Portugal,7,29,40.033265,-7.8896263
33,Uruguay,7,29,-32.8755548,-56.0201525
34,Saudi Arabia,5,30,25.6242618,42.3528328
35,Cyprus,4,31,34.9823018,33.1451285
36,Russian Federation,4,31,64.6863136,97.7453061
37,Estonia,3,32,58.7523778,25.3319078
38,South Africa,3,32,-28.8166236,24.991639
39,United Arab Emirates,3,32,24.0002488,53.9994829
40,Argentina,2,33,-34.9964963,-64.9672817
41,Cuba,2,33,23.0131338,-80.8328748
42,Czech Republic,2,33,49.8167003,15.4749544
43,Malaysia,2,33,4.5693754,102.2656823
44,Mexico,2,33,19.4326009,-99.1333416
45,Thailand,2,33,14.8971921,100.83273
46,Venezuela,2,33,8.0018709,-66.1109318
47,Benin,1,34,9.5293472,2.2584408
48,Chile,1,34,-31.7613365,-71.3187697
49,Croatia,1,34,45.5643442,17.0118954
50,Georgia,1,34,42.3154,43.3569
51,Iceland,1,34,64.9841821,-18.1059013
52,Iran,1,34,32.9407495,52.9471344
53,Lebanon,1,34,33.8750629,35.843409
54,Philippines,1,34,12.7503486,122.7312101
55,Qatar,1,34,25.3336984,51.2295295
56,Slovenia,1,34,45.8133113,14.4808369
57,Tunisia,1,34,33.8439408,9.400138
58,Turkey,1,34,38.9597594,34.9249653
59,Virgin Islands ,1,34,17.789187,-64.7080574
